"case","alpha","n","p","rho","sparsity","iter","loglambda","auc.mean","auc.sd","tau","auc.low","auc.upp"
"banded",0.5,500,1000,0.4,0.05,500,-1.5,0.801242778947369,0.036441318622423,4.59557560122786,0.798048556534693,0.804437001360044
"banded",0.5,500,1000,0.4,0.05,500,-1,0.822729347368421,0.0352733119914429,3.70085522601997,0.819637505250967,0.825821189485874
"banded",0.5,500,1000,0.4,0.05,500,-0.5,0.848390273684211,0.0333777240396656,3.07629930879703,0.845464587176643,0.851315960191778
"banded",0.5,500,1000,0.4,0.05,500,0,0.872526568421052,0.0314850491901978,2.75374815348166,0.869766782178695,0.875286354663409
"banded",0.5,500,1000,0.4,0.05,500,0.5,0.8881392,0.0295807501433874,2.7221495075177,0.885546332928675,0.890732067071325
"banded",0.5,500,1000,0.4,0.1,500,-3,0.667604022222223,0.0304846600359608,7.85363274613485,0.664931923955457,0.670276120488989
"banded",0.5,500,1000,0.4,0.1,500,-2.5,0.673225555555556,0.0304480032969735,6.74335529298164,0.67055667039363,0.675894440717482
"banded",0.5,500,1000,0.4,0.1,500,-2,0.681517199999999,0.0304557544319176,5.65673342083139,0.67884763542114,0.684186764578859
"banded",0.5,500,1000,0.4,0.1,500,-1.5,0.694004844444444,0.0305298993154025,4.63238080136676,0.691328780779998,0.69668090810889
"banded",0.5,500,1000,0.4,0.1,500,-1,0.712252488888889,0.0307337510290397,3.7574255387516,0.709558556833913,0.714946420943865
"banded",0.5,500,1000,0.4,0.1,500,-0.5,0.734983844444445,0.030704129149553,3.146582507686,0.732292508861686,0.737675180027203
"banded",0.5,500,1000,0.4,0.1,500,0,0.756372488888889,0.0301264051320476,2.82815441522825,0.753731793049005,0.759013184728772
"banded",0.5,500,1000,0.4,0.1,500,0.5,0.769158,0.0296536645179376,2.78665793365854,0.766558741701952,0.771757258298048
"blockdiag",0.5,500,1000,0.8,0.01,500,-3,0.964718989898989,0.0298222280828396,8.44721792901463,0.962104956353027,0.967333023444952
"blockdiag",0.5,500,1000,0.8,0.01,500,-2.5,0.967813333333333,0.0284425986246236,7.23506077367915,0.965320229641262,0.970306437025404
"blockdiag",0.5,500,1000,0.8,0.01,500,-2,0.972160606060607,0.0259925742143625,6.04411040189559,0.969882256476749,0.974438955644465
"blockdiag",0.5,500,1000,0.8,0.01,500,-1.5,0.97777898989899,0.0227815841180556,4.91321274383147,0.975782096006644,0.979775883791335
"blockdiag",0.5,500,1000,0.8,0.01,500,-1,0.984302020202021,0.018429339362457,3.94577997241994,0.982686617382702,0.98591742302134
"blockdiag",0.5,500,1000,0.8,0.01,500,-0.5,0.99043696969697,0.0130285288359604,3.25751930079525,0.989294968792909,0.991578970601032
"blockdiag",0.5,500,1000,0.8,0.01,500,0,0.994971717171719,0.0082589172407622,2.83728726457792,0.99424779115718,0.995695643186258
"blockdiag",0.5,500,1000,0.8,0.01,500,0.5,0.997678181818184,0.00500592233673079,2.59166953948563,0.997239393378891,0.998116970257476
"blockdiag",0.5,500,1000,0.8,0.05,500,-3,0.740309347368421,0.0403805401189937,7.86656829096135,0.736769836967591,0.74384885776925
