"case","rho","alpha","n","p","sparsity","loglambda","iter","precision.theory","precision.mean","precision.sd","power.theory","power.mean","power.sd","precision.low","precision.upp","power.low","power.upp"
"banded",0.4,0.5,500,1000,0.01,0.5,500,0.851668082682801,0.8544,0.0165791959840928,0.995996369631091,0.9962,0.0191387717779992,0.852946769398077,0.855853230601923,0.994522412687703,0.997877587312297
"banded",0.4,0.5,500,1000,0.05,-3,500,0.761359866352312,0.763535999999999,0.0224387097532541,0.341251821527924,0.34576,0.0661602354402326,0.761569160370841,0.765502839629157,0.339960799673011,0.351559200326989
"banded",0.4,0.5,500,1000,0.05,-2.5,500,0.765462530631748,0.767771999999999,0.0221006083576801,0.35269598499764,0.35848,0.0656529528691656,0.76583479626483,0.769709203735169,0.35272526495087,0.364234735049131
"banded",0.4,0.5,500,1000,0.05,-2,500,0.771363061416688,0.773839999999999,0.0219101462573402,0.369747812786064,0.3772,0.0666772202735448,0.771919491004007,0.775760508995992,0.371355483954371,0.383044516045629
"banded",0.4,0.5,500,1000,0.05,-1.5,500,0.779690738203877,0.781815999999999,0.0218663764908977,0.396746796395852,0.40444,0.0661228467454589,0.779899327593194,0.783732672406805,0.398644076936605,0.410235923063395
"banded",0.4,0.5,500,1000,0.05,-1,500,0.789824814382344,0.79164,0.0204478514582466,0.438820037963443,0.44592,0.0659762026691236,0.789847666794505,0.793432333205494,0.440136930856634,0.451703069143366
"banded",0.4,0.5,500,1000,0.05,-0.5,500,0.794765616073047,0.796476,0.0200705525124824,0.494399099755924,0.4996,0.0656327304827496,0.794716738505255,0.798235261494744,0.493847037521193,0.505352962478807
"banded",0.4,0.5,500,1000,0.05,0,500,0.777522035122215,0.779108,0.0205993446984123,0.550904696959277,0.55632,0.0650393560520962,0.777302387826526,0.780913612173474,0.550619049083264,0.562020950916736
"banded",0.4,0.5,500,1000,0.05,0.5,500,0.706894647744268,0.709436,0.0263129368427506,0.592277785041762,0.6012,0.0674778966259777,0.707129569393653,0.711742430606348,0.595285301577692,0.607114698422308
"banded",0.4,0.5,500,1000,0.1,-3,500,0.73431866163304,0.735300000000001,0.0219523532137957,0.204285054679639,0.20236,0.0409509996060838,0.733375791401157,0.737224208598844,0.198770486620462,0.205949513379538
